LNCB312-06|Argyrostrotis.	Insecta	Lepidoptera	Erebidae	Erebinae	Argyrostrotis	Argyrostrotis_flavistriaria
FINTI584-12|Dicranomyia.	Insecta	Diptera	Limoniidae	Limoniinae	Dicranomyia	Dicranomyia_ponojensis
GWORL397-09|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
LENOA021-11|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
LEATG248-14|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
ABOLA511-14|Hypena.	Insecta	Lepidoptera	Erebidae	Hypeninae	Hypena	Hypena_rostralis
ESAP006-13|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP163-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP171-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP179-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP185-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP195-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP214-15|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
ESAP011-13|Orchopeas.	Insecta	Siphonaptera	Ceratophyllidae	Ceratophyllinae	Orchopeas	Orchopeas_caedens
GBCM9406-17|Cherax.	Malacostraca	Decapoda	Parastacidae	Cherax	Cherax_gherardiae
UMCHM122-09|Chimarra.	Insecta	Trichoptera	Philopotamidae	Chimarrinae	Chimarra	Chimarra_adamsae
INHST341-09|Hydroptila.	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	Hydroptila	Hydroptila_hamata
ONCAD1039-09|Hydroptila.	Insecta	Trichoptera	Hydroptilidae	Hydroptilinae	Hydroptila	Hydroptila_hamata
GBMNB065-20|Ambulyx.	Insecta	Lepidoptera	Sphingidae	Smerinthinae	Ambulyx	Ambulyx_japonica
LSAFA007-13|Neaxestis.	Insecta	Lepidoptera	Nolidae	Chloephorinae	Neaxestis	Neaxestis_griseata
BETN3499-19|Amara.	Insecta	Coleoptera	Carabidae	Harpalinae	Amara	Amara_carinata
NEONT311-10|Amara.	Insecta	Coleoptera	Carabidae	Harpalinae	Amara	Amara_carinata
LHSMI427-09|Cnesia.	Insecta	Diptera	Simuliidae	Simuliinae	Cnesia	Cnesia_ornata
LJNTE011-11|Camelobaetidius.	Insecta	Ephemeroptera	Baetidae	Baetinae	Camelobaetidius	Camelobaetidius_francischettii
RFBAE681-09|Myzocallis.	Insecta	Hemiptera	Aphididae	Calaphidinae	Myzocallis	Myzocallis_punctatus
RDNMC400-05|Lacinipolia.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Lacinipolia	Lacinipolia_stenotis
GBDP17720-15|Cricotopus.	Insecta	Diptera	Chironomidae	Orthocladiinae	Cricotopus	Cricotopus_aff__albitarsis
GBMNA10634-19|Coptotermes.	Insecta	Blattodea	Rhinotermitidae	Coptotermitinae	Coptotermes	Coptotermes_sjoestedti
BLPDL1682-10|epipyroBioLep01.	Insecta	Lepidoptera	Epipyropidae	epipyroBioLep01	epipyroBioLep01_BioLep02
VVGC390-09|Agrilus.	Insecta	Coleoptera	Buprestidae	Agrilinae	Agrilus	Agrilus_angustulus
BLPAE424-06|Eusceptis.	Insecta	Lepidoptera	Noctuidae	Acontiinae	Eusceptis	Eusceptis_obscura
BLPBH280-07|Eusceptis.	Insecta	Lepidoptera	Noctuidae	Acontiinae	Eusceptis	Eusceptis_obscura
BLPED027-11|Eusceptis.	Insecta	Lepidoptera	Noctuidae	Acontiinae	Eusceptis	Eusceptis_obscura
BLPEF5669-13|Eusceptis.	Insecta	Lepidoptera	Noctuidae	Acontiinae	Eusceptis	Eusceptis_obscura
BBLOB1472-11|Virbia.	Insecta	Lepidoptera	Erebidae	Arctiinae	Virbia	Virbia_fergusoni
BBLOB430-11|Virbia.	Insecta	Lepidoptera	Erebidae	Arctiinae	Virbia	Virbia_fergusoni
HKONS715-08|Virbia.	Insecta	Lepidoptera	Erebidae	Arctiinae	Virbia	Virbia_fergusoni
GBMNB1186-20|Wagneriana.	Arachnida	Araneae	Araneidae	Wagneriana	Wagneriana_sp__n__2_JJCG-2018
GBMNB1185-20|Wagneriana.	Arachnida	Araneae	Araneidae	Wagneriana	Wagneriana_sp__n__2_JJCG-2018
ODOPH133-13|Oreocnemis.	Insecta	Odonata	Platycnemididae	Calicnemiinae	Oreocnemis	Oreocnemis_phoenix
ODOPH133-13|Oreocnemis.	Insecta	Odonata	Platycnemididae	Calicnemiinae	Oreocnemis	Oreocnemis_phoenix
ANICG640-10|Hypolamprus.	Insecta	Lepidoptera	Thyrididae	Siculodinae	Hypolamprus	Hypolamprus_semiusta
TXLEP997-20|Condica.	Insecta	Lepidoptera	Noctuidae	Condicinae	Condica
GMARS878-14|Lepidoptera.	Insecta	Lepidoptera	Noctuidae	Condicinae	Condica
FBCOI444-12|Stephostethus.	Insecta	Coleoptera	Latridiidae	Latridiinae	Stephostethus	Stephostethus_lardarius
SSDB487-08|Gonimbrasia.	Insecta	Lepidoptera	Saturniidae	Saturniinae	Gonimbrasia	Gonimbrasia_jamesoni
GWOTT674-18|Lymanopoda.	Insecta	Lepidoptera	Nymphalidae	Satyrinae	Lymanopoda	Lymanopoda_labda
GWORA1368-08|Rhodostrophia.	Insecta	Lepidoptera	Geometridae	Sterrhinae	Rhodostrophia	Rhodostrophia_nesam
GWORA1372-08|Rhodostrophia.	Insecta	Lepidoptera	Geometridae	Sterrhinae	Rhodostrophia	Rhodostrophia_nesam
GBA14436-13|Calocalanus.	Copepoda	Calanoida	Paracalanidae	Calocalanus
FLTWO038-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
FLTWO151-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
FLTWO268-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
FLTWO316-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
FLTWO319-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
FLTWO322-14|Cilicaea.	Malacostraca	Isopoda	Sphaeromatidae	Cilicaea
GBMHH21530-19|Cinara.	Insecta	Hemiptera	Aphididae	Lachninae	Cinara	Cinara_schwarzii
GBMIN9329-12|Cinara.	Insecta	Hemiptera	Aphididae	Lachninae	Cinara	Cinara_schwarzii
GBMIN9361-12|Cinara.	Insecta	Hemiptera	Aphididae	Lachninae	Cinara	Cinara_schwarzii
GBMNB24453-20|Lasioptera.	Insecta	Diptera	Cecidomyiidae	Cecidomyiinae	Lasioptera	Lasioptera_umbelliferarum
SSKUA9144-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNEIB1631-12|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNEIF2129-12|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNEIF2173-12|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNEIG1532-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNWBB187-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
GMFID696-12|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSEIA7856-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSBAF3632-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSBAF3337-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSEID2676-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSJAF7443-13|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNMIJ051-14|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNVUA993-14|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNKTD129-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNBFL026-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSGLA2718-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSGLA2706-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
SSGLA4932-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNEIF2133-12|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
CNRVB203-15|Mydaea.	Insecta	Diptera	Muscidae	Mydaeinae	Mydaea	Mydaea_affinis
GBCL2793-07|Arachnodes.	Insecta	Coleoptera	Scarabaeidae	Scarabaeinae	Arachnodes	Arachnodes_balianus
CNCLB979-14|Richia.	Insecta	Lepidoptera	Noctuidae	Noctuinae	Richia	Richia_praefixa
GBAH19133-19|Osmia.	Insecta	Hymenoptera	Megachilidae	Megachilinae	Osmia	Osmia_bicornis_globosa
BLPEE8868-15|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
BLPAA16561-20|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYH197-10|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYH200-10|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYH203-10|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYH207-10|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYH210-10|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYM660-11|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYM853-11|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYM856-11|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYM891-11|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMYO720-11|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
MHMXJ186-07|Eois.	Insecta	Lepidoptera	Geometridae	Larentiinae	Eois	Eois_cedon
GBGL21986-19|Heliconius.	Insecta	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius	Heliconius_cydno	Heliconius_cydno_alithea
